plot#,Plant.ID,Height10-10,Crown10-10,Ellip_vol10,Crown7-11,Height 6-11,Ellip_vol11,Crown4-12,Height4-12,Ellip_vol12,2yr grw vol-cm,2yr grw vol-m,y2011,y2012,y2011_m,y2012_m
72,COW-2-3,25.1,144.752,15219.02757,1060.032,29,128767.2981,819.2,41,140689.7344,254238.0049,0.254238005,128767.2981,11922.43627,0.128767298,0.011922436
261,COW-2-4,22.5,92.602,8727.532887,468.652,30,58892.54721,490.8,36,74010.89637,124175.9107,0.124175911,58892.54721,15118.34916,0.058892547,0.015118349
433,COW-2-5,dead,1.099,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
224,COW-2-6,32.5,71.885,9786.113476,325.71,36,49115.91087,546.5,42,96145.30157,135475.099,0.135475099,49115.91087,47029.3907,0.049115911,0.047029391
379,COW-2-7,39.1,340.4,55751.28966,1323.251,39.5,218941.4227,1199.9,42,211097.4334,374287.5664,0.374287566,218941.4227,-7843.989275,0.218941423,-0.007843989
119,COW-2-9,21.8,187.603,17131.08547,880.504,26.5,97738.53306,988,34,140709.8406,221317.2881,0.221317288,97738.53306,42971.3075,0.097738533,0.042971308
154,IDT-1-1,16,56.116,3760.930418,651.47,24.5,66857.34329,1248.2,45,235280.157,298376.5699,0.29837657,66857.34329,168422.8137,0.066857343,0.168422814
218,IDT-1-10,46,890.51,171587.34,3210.824,57.5,773344.4169,4668,84,1642474.905,2244231.982,2.244231982,773344.4169,869130.4879,0.773344417,0.869130488
269,IDT-1-2,40.5,567.931,96347.2243,2671.184,50.5,565045.9834,4704.4,80,1576459.571,2045158.33,2.04515833,565045.9834,1011413.588,0.565045983,1.011413588
328,IDT-1-3,33.5,546.33,76663.46871,2414.075,40,404482.1485,2241.7,63,591570.6931,919389.373,0.919389373,404482.1485,187088.5446,0.404482149,0.187088545
429,IDT-1-4,39.4,816.876,134815.8542,3221.207,52,701633.9371,3101.5,76,987356.4943,1554174.577,1.554174577,701633.9371,285722.5572,0.701633937,0.285722557
383,IDT-1-5,34.5,501.745,72508.80667,2316.611,41.5,402707.5948,3634.9,65,989679.1785,1319877.967,1.319877967,402707.5948,586971.5837,0.402707595,0.586971584
322,IDT-1-6,37,408.408,63297.21091,2030.063,44,374154.3524,3169.5,70,929345.9388,1240203.08,1.24020308,374154.3524,555191.5864,0.374154352,0.555191586
65,IDT-1-7,32,238.426,31958.92779,1667.728,44,307373.5593,623.9,51,133282.6966,408697.3281,0.408697328,307373.5593,-174090.8626,0.307373559,-0.174090863
178,IDT-1-8,40.1,682.026,114560.2395,2635.028,52.5,579472.9225,3398.8,75,1067764.511,1532677.194,1.532677194,579472.9225,488291.5886,0.579472922,0.488291589
447,IDT-1-9,21,112.052,9856.608721,765.969,31,99462.98678,1587.7,52,345828.1948,435434.5729,0.435434573,99462.98678,246365.208,0.099462987,0.246365208
324,IDT-2-1,51,714.943,152732.058,2447.143,56,574031.8432,3360.7,79,1112104.112,1533403.897,1.533403897,574031.8432,538072.2689,0.574031843,0.538072269
109,IDT-2-10,32,479.886,64324.53684,22.802,39,3724.998976,3002.1,61,767085.1915,706485.6536,0.706485654,3724.998976,763360.1925,0.003724999,0.763360193
375,IDT-2-2,40.7,823.596,140409.7439,2844.201,42,500377.9741,2733,60,686877.8178,1046846.048,1.046846048,500377.9741,186499.8436,0.500377974,0.186499844
75,IDT-2-3,34.5,288.719,41723.72451,2024.917,41,347760.0523,2245.8,63,592652.6576,898688.9854,0.898688985,347760.0523,244892.6053,0.347760052,0.244892605
273,IDT-2-4,40.8,815.781,139419.1269,3145.678,50,658829.2597,3428.9,66,947954.2204,1467364.353,1.467364353,658829.2597,289124.9607,0.65882926,0.289124961
432,IDT-2-5,34,343.76,48957.90971,1533.713,44,282673.6876,2637.2,65,718034.0393,951749.8172,0.951749817,282673.6876,435360.3517,0.282673688,0.435360352
449,IDT-2-6,29,313.988,38141.66591,1387.428,37.5,217936.6806,1592.2,60,400163.5058,579958.5205,0.579958521,217936.6806,182226.8252,0.217936681,0.182226825
446,IDT-2-7,31.2,322.113,42097.02991,2247.95,35,329566.6829,3795.6,69,1097029.075,1384498.728,1.384498728,329566.6829,767462.3921,0.329566683,0.767462392
73,IDT-2-8,35.2,835.038,123122.5246,3135.401,44,577875.6279,3011.1,74,933352.0977,1388105.201,1.388105201,577875.6279,355476.4699,0.577875628,0.35547647
292,IDT-2-9,33.2,392.596,54597.47567,1437.002,41.5,249800.9459,1768.2,63,466616.9869,661820.4572,0.661820457,249800.9459,216816.041,0.249800946,0.216816041
415,IDT-3-1,38.2,553.765,88608.92658,2648.448,46,510314.4799,2501.2,67,701959.138,1123664.691,1.123664691,510314.4799,191644.6582,0.51031448,0.191644658
149,IDT-3-10,26.5,213.369,23684.5864,1210.307,38.5,195184.3011,1466.8,61,374791.1658,546290.8805,0.546290881,195184.3011,179606.8647,0.195184301,0.179606865
363,IDT-3-2,35.5,625.171,92964.21072,2943.943,48,591914.8609,4085.9,70,1198048.453,1696999.103,1.696999103,591914.8609,606133.592,0.591914861,0.606133592
230,IDT-3-3,36,650.09,98031.26247,3009.144,47,592419.6269,2496.5,60,627438.8848,1121827.249,1.121827249,592419.6269,35019.25791,0.592419627,0.035019258
345,IDT-3-4,47,697.238,137267.4341,2485.738,53,551848.4543,2307.4,73,705560.6599,1120141.68,1.12014168,551848.4543,153712.2056,0.551848454,0.153712206
199,IDT-3-5,22,110.91,10220.73188,798.299,31,103661.118,1068.5,45,201407.505,294847.8911,0.294847891,103661.118,97746.38704,0.103661118,0.097746387
106,IDT-3-6,40,1159.545,194283.6295,3474.201,46,669424.1594,4930.4,63,1301101.907,1776242.437,1.776242437,669424.1594,631677.7478,0.669424159,0.631677748
82,IDT-3-7,29,112.758,13697.26857,1351.743,43,243473.217,1345.4,53,298686.7121,528462.6606,0.528462661,243473.217,55213.49508,0.243473217,0.055213495
457,IDT-3-8,23,253.3,24403.47285,1194.433,34.5,172611.4091,847,45,159655.7387,307863.6749,0.307863675,172611.4091,-12955.67049,0.172611409,-0.01295567
441,IDT-3-9,27,91.624,10362.43027,712.164,36.5,108883.3539,1283.6,55,295720.2109,394241.1345,0.394241135,108883.3539,186836.8569,0.108883354,0.186836857
336,IDV-2-1,dead,134.206,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
250,IDV-2-2,29.5,679.552,83971.77246,3645.648,37,565021.6214,na,45,#VALUE!,#VALUE!,#VALUE!,565021.6214,#VALUE!,0.565021621,#VALUE!
36,IDV-2-3,31.4,530.285,69747.33207,1669.675,36,251781.0583,1810.5,41,310935.9913,492969.7175,0.492969717,251781.0583,59154.93303,0.251781058,0.059154933
19,IDV-2-4,dead,16.847,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
120,IDV-2-7,29,823.361,100017.7083,2343.635,32.5,319052.3483,2282.2,47,449303.8793,668338.5193,0.668338519,319052.3483,130251.531,0.319052348,0.130251531
377,IDV-2-8,37.8,696.383,110262.6865,1783.741,38,283925.2395,2824.4,56,662525.867,836188.42,0.83618842,283925.2395,378600.6276,0.283925239,0.378600628
254,IDV-2-9,dead,183.184,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
346,IDV-3-1,17.3,201.234,14582.63724,783.124,29,95129.92207,1377.7,34,196210.473,276757.7578,0.276757758,95129.92207,101080.5509,0.095129922,0.101080551
459,IDV-3-4,26.3,170.712,18806.51862,709.069,32.5,96529.59166,643.1,32,86201.95138,163925.0244,0.163925024,96529.59166,-10327.64027,0.096529592,-0.01032764
320,IDV-3-5,31.5,737.28,97281.80413,2723.603,38.5,439231.1604,1817,40,304441.2721,646390.6283,0.646390628,439231.1604,-134789.8883,0.43923116,-0.134789888
111,IDV-3-7,16.5,28.812,1991.342486,250.212,23,24105.96822,231.3,24,23252.81218,45367.43792,0.045367438,24105.96822,-853.1560338,0.024105968,-0.000853156
209,IDV-3-8,28,391.675,45938.0433,2933.181,37,454599.7541,3235.4,55,745382.6506,1154044.361,1.154044361,454599.7541,290782.8964,0.454599754,0.290782896
402,IDV-4-6,27.4,175.023,20087.88881,1293.384,30,162531.4269,459.8,36,69336.2065,211779.7446,0.211779745,162531.4269,-93195.22041,0.162531427,-0.09319522
243,IDV-4-7,38.4,713.285,114731.5669,3116.349,39,509095.5545,86.2,43,15526.16977,409890.1573,0.409890157,509095.5545,-493569.3847,0.509095554,-0.493569385
185,IDV-5-1,29.4,875.64,107835.4443,2701.156,36.5,412982.0165,2200.8,50,460934.4741,766081.0463,0.766081046,412982.0165,47952.45764,0.412982016,0.047952458
266,IDV-5-10,19.5,138.498,11312.71178,684.836,28.5,81756.07837,824.5,32,110517.0408,180960.4073,0.180960407,81756.07837,28760.9624,0.081756078,0.028760962
339,IDV-5-2,29.2,402.431,49222.4117,994.607,36.5,152066.3022,1700.6,48,341925.9179,444769.8083,0.444769808,152066.3022,189859.6157,0.152066302,0.189859616
32,IDV-5-3,20,77.743,6512.982338,30.308,dead,#VALUE!,46.9,24,4714.902255,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
175,IDV-5-4,dead,52.116,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
385,IDV-5-5,30.5,225.143,28763.84219,792.669,35,116211.345,1161.7,43,209243.056,296690.5588,0.296690559,116211.345,93031.71098,0.116211345,0.093031711
67,IDV-5-6,30.8,322.424,41597.44798,1803.445,33.5,253067.4672,2172.1,53,482218.9738,693688.993,0.693688993,253067.4672,229151.5066,0.253067467,0.229151507
456,IDV-5-7,31.5,928.746,122545.1476,2599.639,36.5,397460.9968,3562.8,53,790962.5523,1065878.401,1.065878401,397460.9968,393501.5555,0.397460997,0.393501555
102,IDV-5-8,26.5,358.09,39749.04294,1316.223,32,176428.2243,1736.4,49,356397.3503,493076.5316,0.493076532,176428.2243,179969.126,0.176428224,0.179969126
193,IDV-5-9,25.7,350.793,37763.53586,1339.594,31,173949.625,1625.4,38,258721.4648,394907.5539,0.394907554,173949.625,84771.83976,0.173949625,0.08477184
355,IDW-1-1,27.8,199.866,23274.06946,1034.581,37.5,162511.6035,979.8,47,192896.3022,332133.8362,0.332133836,162511.6035,30384.69875,0.162511603,0.030384699
144,IDW-1-10,23.1,127.244,12312.26352,831.485,32,111453.3191,1120.7,46,215941.3504,315082.406,0.315082406,111453.3191,104488.0312,0.111453319,0.104488031
387,IDW-1-2,17,37.586,2676.477767,356.673,22,32868.62411,658.1,30,82699.28501,112891.4314,0.112891431,32868.62411,49830.6609,0.032868624,0.049830661
71,IDW-1-3,25.5,393.748,42057.85802,1690.737,30.5,216005.3488,1594.6,47,313933.9084,487881.3993,0.487881399,216005.3488,97928.55962,0.216005349,0.09792856
347,IDW-1-4,36.8,453.702,69937.01976,1858.959,46,358192.3055,2423.8,59,599014.5922,887269.878,0.887269878,358192.3055,240822.2867,0.358192306,0.240822287
262,IDW-1-5,29,417.672,50736.67109,1807.308,40,302817.3619,2323.9,55,535388.1256,787468.8164,0.787468816,302817.3619,232570.7637,0.302817362,0.232570764
392,IDW-1-6,21.5,62.789,5654.713886,537.013,32,71981.91342,845.8,48,170058.1803,236385.3798,0.23638538,71981.91342,98076.26683,0.071981913,0.098076267
63,IDW-1-7,24.5,222.241,22807.56264,1595.502,28,187130.2482,1497.7,44,276036.2479,440358.9335,0.440358933,187130.2482,88905.99977,0.187130248,0.088906
101,IDW-1-8,31.5,390.52,51527.90005,1376.317,36,207543.7141,1334.3,34,190029.4942,346045.3082,0.346045308,207543.7141,-17514.21987,0.207543714,-0.01751422
357,IDW-2-2,21.8,223.033,20366.39812,1167.416,26,127141.5783,1380.7,39,225555.0428,332330.223,0.332330223,127141.5783,98413.46445,0.127141578,0.098413464
60,IDW-2-3,30,69.284,8706.484216,540.142,33,74663.87012,578,45,108950.4332,174907.8191,0.174907819,74663.87012,34286.56311,0.07466387,0.034286563
313,IDW-2-6,24.5,104.2,10693.56251,1075.26,38,171153.4651,217.9,25,22818.43464,183278.3372,0.183278337,171153.4651,-148335.0305,0.171153465,-0.14833503
427,IDW-3-1,31.1,138.214,18005.32788,748.734,36.5,114474.572,1127.4,52,245566.988,342036.2322,0.342036232,114474.572,131092.4159,0.114474572,0.131092416
233,IDW-3-10,45,437.5,82466.80716,1748.086,50,366118.2757,1562.4,59,386129.3831,669780.8517,0.669780852,366118.2757,20011.10745,0.366118276,0.020011107
235,IDW-3-2,28.5,311.845,37228.21852,1900.368,34,270648.2574,2290.2,55,527624.203,761044.2418,0.761044242,270648.2574,256975.9456,0.270648257,0.256975946
160,IDW-3-3,32.5,382.202,52031.3298,1125.511,32,150864.9425,554,51,118350.0784,217183.6911,0.217183691,150864.9425,-32514.86402,0.150864942,-0.032514864
372,IDW-3-4,47.7,689.746,137814.9015,1561.101,51,333495.3535,2311.9,63,610096.0367,805776.4887,0.805776489,333495.3535,276600.6832,0.333495353,0.276600683
231,IDW-3-5,29.6,198.85,24655.05159,1027.952,39,167929.1355,1272,47,250422.6336,393696.7175,0.393696717,167929.1355,82493.49813,0.167929135,0.082493498
70,IDW-3-6,37.1,305.923,47541.69356,817.376,39,133528.8467,1085.3,45,204574.2304,290561.3836,0.290561384,133528.8467,71045.3837,0.133528847,0.071045384
395,IDW-3-7,11.4,70.368,3360.227396,202.47,16.5,13993.72182,492.4,30,61876.80891,72510.30333,0.072510303,13993.72182,47883.08708,0.013993722,0.047883087
93,IDW-3-8,30.5,322.799,41240.18732,1537.246,41,264007.2405,1724,50,361073.7157,583840.7688,0.583840769,264007.2405,97066.47518,0.26400724,0.097066475
146,IDW-3-9,7,4.35,127.5486617,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
81,MTT-1-2,28.1,114.989,13534.78079,657.031,31,85317.11553,457,28,53599.75946,125382.0942,0.125382094,85317.11553,-31717.35607,0.085317116,-0.031717356
37,MTT-1-4,29,121.03,14702.10908,1340.222,40,224556.3514,1715.9,60,431252.7067,641106.9491,0.641106949,224556.3514,206696.3553,0.224556351,0.206696355
286,MTT-1-5,22.8,178.17,17016.02192,1166.932,37,180857.2333,1967.7,60,494536.9492,658378.1605,0.65837816,180857.2333,313679.7159,0.180857233,0.313679716
172,MTT-1-6,25.6,142.036,15230.95054,901.634,37,139739.9597,1134.8,55,261439.1518,385948.161,0.385948161,139739.9597,121699.1921,0.13973996,0.121699192
4,MTT-1-7,30.1,215.462,27166.00596,1426.769,37.5,224116.3504,2386.3,65,649721.1543,846671.4987,0.846671499,224116.3504,425604.8038,0.22411635,0.425604804
352,MTT-1-8,47.9,709.85,142426.4696,2307.501,53,512278.7921,3745.3,84,1317815.18,1687667.503,1.687667503,512278.7921,805536.3881,0.512278792,0.805536388
34,MTV-1-1,dead,dead,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
374,MTV-1-10,21,204.873,18021.57033,1261.13,26,137347.8338,1460.5,39,238591.3957,357917.6591,0.357917659,137347.8338,101243.5619,0.137347834,0.101243562
196,MTV-1-2,dead,2.476,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
326,MTV-1-9,21.8,277.424,25333.14636,1062.79,31,138005.9346,1501.1,37,232648.3401,345321.1284,0.345321128,138005.9346,94642.40553,0.138005935,0.094642406
210,MTW-1-1,dead,27.398,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
366,MTW-1-2,31,163.712,21258.41188,1258.175,35,184458.0891,1025.3,38,163201.1307,326400.8079,0.326400808,184458.0891,-21256.95837,0.184458089,-0.021256958
171,MTW-1-3,19.6,57.797,4745.150346,413.679,26,45053.17812,130.6,34,18599.90403,58907.9318,0.058907932,45053.17812,-26453.2741,0.045053178,-0.026453274
351,MTW-1-4,19,107.768,8576.933313,827.98,27,93642.33187,198.8,36,29978.33374,115043.7323,0.115043732,93642.33187,-63663.99813,0.093642332,-0.063663998
406,MTW-1-5,24.2,96.024,9733.830253,534.697,25,55993.3389,462.1,37,71618.67828,117878.1869,0.117878187,55993.3389,15625.33938,0.055993339,0.015625339
155,MTW-1-6,25.7,78.427,8442.816209,660.758,31,85801.07578,780.1,40,130707.0096,208065.2691,0.208065269,85801.07578,44905.93377,0.085801076,0.044905934
17,MTW-1-7,17.8,40.911,3050.34321,190.454,21,16753.20884,238.1,24,23936.42275,37639.28838,0.037639288,16753.20884,7183.213903,0.016753209,0.007183214
368,MTW-2-1,21.3,119.516,10663.36469,557.829,27,63088.97358,754.3,35,110586.1558,163011.7647,0.163011765,63088.97358,47497.18222,0.063088974,0.047497182
462,MTW-2-2,13.5,28.229,1596.312342,273.535,21.5,24634.28567,227.1,27,25684.4049,48722.37822,0.048722378,24634.28567,1050.119232,0.024634286,0.001050119
165,MTW-2-3,11.7,26.244,1286.188139,578.448,23,55728.93828,846.6,33,117025.583,171468.3331,0.171468333,55728.93828,61296.64471,0.055728938,0.061296645
404,MTW-2-4,26.2,390.167,42819.38595,1447.587,28.5,172813.69,581.7,41,99901.38975,229895.6938,0.229895694,172813.69,-72912.30027,0.17281369,-0.0729123
44,MTW-2-5,34.1,216.278,30892.66203,2198.211,35.5,326878.487,2416.4,47,475724.2546,771710.0796,0.77171008,326878.487,148845.7676,0.326878487,0.148845768
223,MTW-2-6,10.5,8.635,379.7871359,194.393,24,19542.51586,204.2,24,20528.42304,39691.15176,0.039691152,19542.51586,985.9071729,0.019542516,0.000985907
445,MTW-2-7,25,110.073,11526.81761,525.499,29,63834.94685,580.3,38,92368.68832,144676.8176,0.144676818,63834.94685,28533.74147,0.063834947,0.028533741
51,MTW-2-8,29.2,418.754,51218.92148,1380.548,33,190833.256,1463,46,281897.2032,421511.5377,0.421511538,190833.256,91063.94719,0.190833256,0.091063947
50,MTW-2-9,28,162.364,19043.04452,1026.102,30,128943.7802,949.4,39,155096.6594,264997.3951,0.264997395,128943.7802,26152.8792,0.12894378,0.026152879
288,MTW-3-1,23.4,158.719,15557.26986,945.834,26,103009.4051,1365.3,41,234477.1659,321929.3011,0.321929301,103009.4051,131467.7609,0.103009405,0.131467761
96,MTW-3-10,26,162.349,17681.19342,757.684,30,95213.37953,747.7,31,97090.71152,174622.8976,0.174622898,95213.37953,1877.331994,0.09521338,0.001877332
451,MTW-3-2,dead,4.018,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
35,MTW-3-3,20.5,134.059,11511.67303,863.566,27,97667.01365,91.7,31,11907.47392,98062.81453,0.098062815,97667.01365,-85759.53974,0.097667014,-0.08575954
166,MTW-3-4,9.8,30.918,1269.188352,311.929,17,22212.28738,372.1,32,49876.76273,70819.86175,0.070819862,22212.28738,27664.47535,0.022212287,0.027664475
69,MTW-3-5,11.6,42.574,2068.669228,564.937,23,54427.25915,547.2,37,84807.922,137166.5119,0.137166512,54427.25915,30380.66285,0.054427259,0.030380663
330,MTW-3-6,23.5,273.314,26904.09264,993.438,29,120677.7975,1780.7,47,350571.9997,444345.7046,0.444345705,120677.7975,229894.2022,0.120677798,0.229894202
417,MTW-3-7,12.2,17.591,898.9571036,280.375,19,22314.20902,351.6,32,47128.91635,68544.16827,0.068544168,22314.20902,24814.70733,0.022314209,0.024814707
305,MTW-3-7-R,9,23.139,872.3197489,198.331,21.5,17861.48943,261.2,30,32823.36004,49812.52972,0.04981253,17861.48943,14961.87062,0.017861489,0.014961871
425,MTW-3-8,23.6,173.009,17102.88235,586.619,30,73716.71763,605.2,39,98867.17745,155481.0127,0.155481013,73716.71763,25150.45981,0.073716718,0.02515046
329,MTW-3-9,27,103.309,11683.97264,335.617,23.5,33036.98625,585.8,30,73613.79906,94966.81267,0.094966813,33036.98625,40576.81281,0.033036986,0.040576813
152,NMT-1-1,33.7,269.698,38071.17108,1224.336,39,200010.9791,2082.1,73,636668.0462,798607.8543,0.798607854,200010.9791,436657.0671,0.200010979,0.436657067
361,NMT-1-10,dead,399.881,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
145,NMT-1-2,15.5,34.602,2246.578039,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
203,NMT-1-3,36.5,335.116,51236.16757,1043.064,46,200982.1082,1741.2,68,495959.4623,645705.403,0.645705403,200982.1082,294977.3541,0.200982108,0.294977354
444,NMT-1-4,dead,24.197,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
46,NMT-1-5,33.1,138.64,19222.29123,932.619,37,144542.1773,1123,62,291648.7068,416968.5929,0.416968593,144542.1773,147106.5295,0.144542177,0.14710653
190,NMT-1-6,42.6,818.034,145972.0016,1728.152,48,347465.5762,2783.6,73,851173.8982,1052667.473,1.052667473,347465.5762,503708.3221,0.347465576,0.503708322
258,NMT-1-7,39.4,376.498,62136.6027,1189.057,42,209189.8332,1868,65,508602.9067,655656.1372,0.655656137,209189.8332,299413.0735,0.209189833,0.299413073
468,NMT-1-8,21.8,114.353,10442.21583,460.244,29,55908.10121,826,52,179916.9169,225382.8023,0.225382802,55908.10121,124008.8157,0.055908101,0.124008816
113,NMT-1-9,30.5,177.295,22650.87256,654.327,33,90447.67143,1614.9,64,432926.5473,500723.3462,0.500723346,90447.67143,342478.8759,0.090447671,0.342478876
95,NMT-2-1,36.5,365.583,55894.29286,818.809,40,137192.7648,1165.4,52,253844.0374,335142.5093,0.335142509,137192.7648,116651.2727,0.137192765,0.116651273
350,NMT-2-10,30,325.169,40861.94166,1175.716,40,196993.1066,1938,67,543897.6529,700028.8178,0.700028818,196993.1066,346904.5464,0.196993107,0.346904546
204,NMT-2-2,40.2,454.776,76579.44242,1271.693,44,234381.628,1770.9,63,467329.5001,625131.6857,0.625131686,234381.628,232947.8721,0.234381628,0.232947872
53,NMT-2-3,34.8,83.591,12185.05164,477.435,27.5,54996.56391,511.4,50,107107.3655,149918.8778,0.149918878,54996.56391,52110.80162,0.054996564,0.052110802
201,NMT-2-4,34.2,459.737,65860.37101,1457.597,46,280856.1297,2681.7,76,853713.9806,1068709.739,1.068709739,280856.1297,572857.8509,0.28085613,0.572857851
23,NMT-2-5,28.7,124.341,14948.06101,625.524,33.5,87776.32494,930.9,47,183269.2057,256097.4696,0.25609747,87776.32494,95492.88074,0.087776325,0.095492881
99,NMT-2-6,25.6,139.366,14944.63835,615.904,32.5,83846.51087,1414.1,60,355402.0937,424303.9662,0.424303966,83846.51087,271555.5828,0.083846511,0.271555583
89,NMT-2-7,33.5,210.173,29492.41522,693.279,39,113256.0111,1396,57,333310.4142,417074.01,0.41707401,113256.0111,220054.4031,0.113256011,0.220054403
164,NMT-2-8,28,269.672,31628.7841,1128.058,31,146481.1473,1638.2,61,418586.6429,533439.0061,0.533439006,146481.1473,272105.4956,0.146481147,0.272105496
260,NMT-2-9,39.6,392.428,65094.42307,1479.125,39,241634.0282,1782.6,67,500284.8071,676824.4122,0.676824412,241634.0282,258650.7789,0.241634028,0.258650779
367,NVT-1-1,47,575.612,113322.5416,2471.088,50,517543.4605,3577.1,78,1168730.272,1572951.191,1.572951191,517543.4605,651186.812,0.51754346,0.651186812
342,NVT-1-10,30.5,189.831,24252.44812,730.144,40,122336.8014,1360.2,60,341855.5462,439939.8995,0.439939899,122336.8014,219518.7448,0.122336801,0.219518745
85,NVT-1-2,32.1,508.762,68408.22276,2727.194,43,491216.6711,4177.9,69,1207523.915,1630332.363,1.630332363,491216.6711,716307.2441,0.491216671,0.716307244
125,NVT-1-3,33.5,331.346,46495.95245,2053.326,42.5,365540.453,2626.3,64,704065.2617,1023109.762,1.023109762,365540.453,338524.8087,0.365540453,0.338524809
439,NVT-1-4,32.2,281.217,37930.28028,1039.877,38.5,167699.3238,2645.9,65,720402.8002,850171.8437,0.850171844,167699.3238,552703.4764,0.167699324,0.552703476
238,NVT-1-5,25.7,232.519,25031.11406,1448.184,35,212314.8634,2238.6,69,647014.7769,834298.5262,0.834298526,212314.8634,434699.9135,0.212314863,0.434699914
302,NVT-1-6,47.9,896.49,179874.4886,2865.598,53.5,642181.3026,2817.3,71,837876.5837,1300183.398,1.300183398,642181.3026,195695.2811,0.642181303,0.195695281
453,NVT-1-7,39.2,583.333,95783.61462,2221.579,36,335006.2208,3946.2,69,1140556.47,1379779.076,1.379779076,335006.2208,805550.2488,0.335006221,0.805550249
143,NVT-1-8,24,118.013,11863.96076,732.242,31.5,96617.05569,1353.5,62,351510.7076,436263.8025,0.436263803,96617.05569,254893.6519,0.096617056,0.254893652
114,NVT-1-9,32,278.729,37361.19376,1224.061,39,199966.0543,2358,62,612384.3728,774989.2334,0.774989233,199966.0543,412418.3184,0.199966054,0.412418318
27,NVT-2-1,dead,40.463,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
137,NVT-2-10,33.6,248.625,34992.31561,1436.322,45.5,273748.5444,2600.5,63,686255.7824,925012.0112,0.925012011,273748.5444,412507.2381,0.273748544,0.412507238
30,NVT-2-2,28,176.468,20697.24804,1534.343,39.5,253868.1167,2569.5,60,645785.7859,878956.6545,0.878956655,253868.1167,391917.6692,0.253868117,0.391917669
341,NVT-2-3,36.2,433.218,65690.6672,2465.789,47,485447.6221,5228.6,73,1598810.118,2018567.073,2.018567073,485447.6221,1113362.496,0.485447622,1.113362496
359,NVT-2-3-R,53,1138.224,252692.4217,4077.362,60,1024752.84,2252.6,68,641625.4794,1413685.898,1.413685898,1024752.84,-383127.361,1.02475284,-0.383127361
428,NVT-2-4,35.9,679.904,102242.3102,3007.154,43,541642.5004,3213.9,60,807741.1703,1247141.361,1.247141361,541642.5004,266098.6699,0.5416425,0.26609867
207,NVT-2-5,36.3,439.149,66773.95998,2254.975,52.5,495894.9026,2603.8,79,861634.9829,1290755.925,1.290755925,495894.9026,365740.0803,0.495894903,0.36574008
434,NVT-2-6,39.2,203.592,33429.92367,1227.958,49,252039.2637,1920.9,55,442543.5907,661152.9307,0.661152931,252039.2637,190504.3271,0.252039264,0.190504327
215,NVT-2-7,40.5,763.116,129459.5794,3328.094,53,738856.44,3604.7,73,1102251.24,1711648.1,1.7116481,738856.44,363394.7997,0.73885644,0.3633948
321,NVT-2-8,23.5,117.426,11559.01265,366.833,23.5,36109.78221,558.2,47,109894.5865,134445.3561,0.134445356,36109.78221,73784.80432,0.036109782,0.073784804
213,NVT-2-9,38.2,606.817,97097.87184,2656.701,45,500776.3407,3833.9,75,1204455.207,1608133.676,1.608133676,500776.3407,703678.8668,0.500776341,0.703678867
303,NVV-1-1,dead,782.328,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
28,NVV-1-10,dead,32.978,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
