plot#,Plant.ID,Height10-10,Crown10-10,Ellip_vol10,Crown7-11,Height 6-11,Ellip_vol11,Crown4-12,Height4-12,Ellip_vol12,2yr grw vol-cm,2yr grw vol-m,y2011,y2012,y2011_m,y2012_m
268,WAT-2-4,18.5,90.055,6978.597785,448.616,24,45099.79936,784.7,40,131477.7469,169598.9485,0.169598949,45099.79936,86377.94759,0.045099799,0.086377948
13,WAT-2-6,dead,30.607,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
282,WAT-2-7,22.3,77.434,7233.11161,340.944,24,34275.4293,560.5,40,93912.67639,120954.9941,0.120954994,34275.4293,59637.24709,0.034275429,0.059637247
64,WAT-2-8,30,128.395,16134.59155,973.372,37,150858.2907,1373.5,58,333691.5941,468415.2932,0.468415293,150858.2907,182833.3034,0.150858291,0.182833303
169,WAT-2-9,13.4,23.916,1342.400028,181.328,23.5,17849.30633,402.5,36,60695.57007,77202.47637,0.077202476,17849.30633,42846.26374,0.017849306,0.042846264
287,WAW-1-1,25.4,390.115,41506.39122,1587.445,37,246030.5405,2029,47,399455.6003,603979.7495,0.60397975,246030.5405,153425.0598,0.24603054,0.15342506
440,WAW-1-10,dead,9.151,#VALUE!,0,dead,#VALUE!,na,dead,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
418,WAW-1-2,38,998.364,158913.6191,2839.677,42.5,505529.4761,4002.1,63,1056129.309,1402745.166,1.402745166,505529.4761,550599.8325,0.505529476,0.550599832
356,WAW-1-3,37,443.584,68748.97163,1691.575,47,333025.6812,1510.1,58,366878.5411,631155.2507,0.631155251,333025.6812,33852.85996,0.333025681,0.03385286
436,WAW-1-4,32.6,445.19,60792.72487,2101.367,39,343285.2347,2082.7,56,488543.6281,771036.138,0.771036138,343285.2347,145258.3934,0.343285235,0.145258393
378,WAW-1-5,41.5,223.851,38913.09236,1255.319,42.5,223476.3871,376.4,48,75679.71039,260243.0051,0.260243005,223476.3871,-147796.6767,0.223476387,-0.147796677
135,WAW-1-6,31,468.73,60865.76061,1967.769,36,296732.5744,2761.6,60,694065.7818,929932.5956,0.929932596,296732.5744,397333.2073,0.296732574,0.397333207
236,WAW-1-7,35.2,640.1,94379.81027,2813.146,44,518481.85,2877.5,57,687034.8974,1111136.937,1.111136937,518481.85,168553.0474,0.51848185,0.168553047
337,WAW-1-9,33.2,275.712,38342.67087,998.597,37,154767.7933,1603.9,45,302328.0274,418753.1498,0.41875315,154767.7933,147560.2341,0.154767793,0.147560234
41,WYW-1-1,23.5,57.069,5617.676603,801.543,32,107439.8549,457.5,33,63240.26012,165062.4385,0.165062438,107439.8549,-44199.59483,0.107439855,-0.044199595
384,WYW-1-2,9.5,24.027,956.1185914,162.722,20,13632.16639,294,23,28324.59936,41000.64717,0.041000647,13632.16639,14692.43297,0.013632166,0.014692433
256,WYW-2-1,12.8,24.66,1322.183251,457.802,21,40270.3672,286.6,30,36015.21818,74963.40213,0.074963402,40270.3672,-4255.149019,0.040270367,-0.004255149
438,WYW-2-2,13.5,34.52,1952.060011,538.525,26.5,59777.85849,431.4,32,57825.41102,115651.2095,0.11565121,59777.85849,-1952.447474,0.059777858,-0.001952447
191,WYW-2-3,31.4,209.242,27521.18438,1217.75,32,163228.7767,198.7,15,12484.68921,148192.2815,0.148192282,163228.7767,-150744.0875,0.163228777,-0.150744087
